DB No.,n_d[i],d_u,d_u_d_v 
0058083,6.90273e-19,0.153429,0.0985419
0058084,6.90273e-19,0.156045,0.117442
0058085,6.90273e-19,0.166172,0.108295
0058086,6.90273e-19,0.150442,0.12871
0058087,6.90273e-19,0.144214,0.123563
0058088,6.90273e-19,0.166291,0.103924
0058089,6.90273e-19,0.150033,0.117827
0058090,6.90273e-19,0.151607,0.0997252
0058091,6.90273e-19,0.148782,0.0868526
0058092,6.90273e-19,0.157692,0.15265
0058093,6.90273e-19,0.148294,0.105011
0058094,6.90275e-19,0.153194,0.107989
0058095,3.14382e-16,0.143137,0.105482
0058096,7.88042e-10,0.140571,0.101058
0058097,3.62592e-05,0.156326,0.100213
0058098,0.0305568,0.16757,0.158839
0058099,0.471651,0.607719,0.0978781
0058100,0.133339,0.273315,0.0989786
0058101,0.000690419,0.145921,0.101369
0058102,6.54774e-08,0.141516,0.114362
0058103,1.13735e-13,0.117564,0.16195
0058104,6.93891e-19,0.132816,0.136797
0058105,6.90273e-19,0.154302,0.152358
0058106,6.90273e-19,0.116487,0.145738
0058107,6.90273e-19,0.106017,0.114761
0058108,6.90273e-19,0.0922285,0.147882
0058109,6.90273e-19,0.113652,0.106441
0058110,6.90273e-19,0.108501,0.136795
0058111,6.90273e-19,0.186726,0.156228
0058112,6.90273e-19,0.182781,0.194753
0058113,6.90273e-19,0.171576,0.493491
0058114,6.90273e-19,0.111369,0.234653
0058115,6.90273e-19,0.101834,0.107869
0058116,6.90273e-19,0.00529101,0.0861859
0058117,6.90273e-19,6.90273e-19,0.0585505
0058118,6.90273e-19,0.0558946,0.134442
0058119,6.90273e-19,0.0541246,0.0775141
0058120,6.90273e-19,0.0598291,0.07929
0058121,1.2366e-27,0.0597838,0.0860977
0058122,1.2366e-27,0.0593684,0.130787
0058123,1.2366e-27,0.0609917,0.109242
0058124,1.2366e-27,0.180421,0.128738
0058125,1.2366e-27,0.0571903,0.0996256
0058126,1.2366e-27,0.0535883,0.091011
0058127,1.2366e-27,0.0527441,0.0937871
0058128,1.2366e-27,0.0572341,0.108219
0058129,1.2366e-27,0.0556857,0.0793227
0058130,1.2366e-27,0.0505306,0.0829589
0058131,1.2366e-27,0.0498615,0.0516739
0058132,1.2366e-27,0.0417299,0.0299863
0058133,1.2366e-27,0.138696,0.0471185
0058134,1.2366e-27,0.030401,0.0127436
0058135,1.2366e-27,0.138172,0.0868189
0058136,1.2366e-27,0.157133,0.0924103
0058137,1.2366e-27,0.165426,0.142394
0058138,1.2366e-27,0.139165,0.0917197
0058139,1.2366e-27,0.15497,0.100056
0058140,1.2366e-27,0.180713,0.0998686
0058141,1.2366e-27,0.0343719,0.0661003
0058142,1.2366e-27,0.0855473,0.0780077
0058143,1.2366e-27,0.026955,0.0561456
0058144,1.2366e-27,0.0268613,0.0578729
0058145,1.2366e-27,0.0317186,0.052005
0058146,1.2366e-27,0.0300842,0.154362
0058147,1.2366e-27,0.0178926,0.0567747
0058148,1.2366e-27,0.0225464,0.135675
0058149,1.2366e-27,0.0100629,0.0965969
0058150,1.2366e-27,0.0123153,0.135426
0058151,1.2366e-27,0.0517529,0.0754095
0058152,1.2366e-27,0.00305292,0.05793
0058153,1.2366e-27,0.131631,0.194083
0058154,1.2366e-27,0.123101,0.19051
